feature_name,importance
hsa-mir-6787,0.29820138
hsa-mir-6895,0.2980427
hsa-mir-126,0.29696485
hsa-mir-202,0.29542324
hsa-mir-6501,0.29515612
hsa-mir-3199-2,0.29490244
hsa-mir-3925,0.29410058
hsa-mir-4746,0.29409844
hsa-mir-4254,0.29355592
hsa-mir-151a,0.29282463
hsa-mir-216b,0.2927741
hsa-mir-4674,0.2927612
hsa-mir-299,0.29242307
hsa-mir-324,0.29234546
hsa-mir-4785,0.29203665
hsa-mir-196a-1,0.29162583
hsa-mir-548b,0.29152316
hsa-mir-516a-2,0.29120472
hsa-mir-206,0.29112914
hsa-mir-4691,0.2907338
hsa-mir-1262,0.290329
hsa-mir-6826,0.29000437
hsa-mir-4775,0.28974172
hsa-mir-6715a,0.28867772
hsa-mir-222,0.28790376
hsa-mir-3127,0.28752276
hsa-mir-1-2,0.287385
hsa-mir-766,0.2872058
hsa-mir-195,0.28709894
hsa-mir-6885,0.28639784
hsa-mir-6508,0.2859257
hsa-mir-7705,0.28537926
hsa-mir-1910,0.28511247
hsa-mir-4421,0.2849778
hsa-mir-515-2,0.2845088
hsa-mir-618,0.2844457
hsa-mir-3155a,0.28424338
hsa-mir-4749,0.28415805
hsa-mir-514b,0.28400552
hsa-mir-4802,0.28394437
hsa-mir-6721,0.2837123
hsa-mir-3617,0.28365672
hsa-mir-4777,0.2834721
hsa-mir-128-2,0.2828652
hsa-mir-504,0.2824937
hsa-mir-449c,0.28230992
hsa-mir-937,0.28225604
hsa-mir-6515,0.28215444
hsa-mir-25,0.28159946
hsa-mir-1185-1,0.2813478
hsa-mir-675,0.28133655
hsa-mir-323b,0.28131646
hsa-mir-4492,0.2809385
hsa-mir-1305,0.28085467
hsa-mir-935,0.2807762
hsa-mir-182,0.2802297
hsa-mir-379,0.2801643
hsa-mir-345,0.28013584
hsa-mir-190a,0.279876
hsa-mir-320b-2,0.2796316
hsa-mir-1298,0.27921993
hsa-mir-449a,0.27920523
hsa-mir-106a,0.27899513
hsa-mir-6084,0.2788021
hsa-mir-3154,0.27864888
hsa-mir-548aw,0.27831414
hsa-mir-4665,0.27808735
hsa-mir-1292,0.27786434
hsa-mir-3198-2,0.27754897
hsa-mir-129-2,0.27739358
hsa-mir-466,0.2773448
hsa-mir-494,0.2773177
hsa-mir-3149,0.27721864
hsa-mir-6815,0.27720115
hsa-mir-139,0.27706978
